frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
96000,1,1,101,4.769550,428,0.522589,-1.977411,181,0.221001,-2.278999,03 58 01 6A
96000,1,1,102,4.769551,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,103,4.769552,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,104,4.769553,430,0.525031,-1.974969,183,0.223443,-2.276557,03 5C 01 6E
96000,1,1,105,4.769555,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,106,4.769556,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,107,4.769557,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,108,4.769558,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,109,4.769559,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,110,4.769561,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,111,4.769562,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,112,4.769563,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,113,4.769564,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,114,4.769565,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,115,4.769574,430,0.525031,-1.974969,183,0.223443,-2.276557,03 5C 01 6E
96000,1,1,116,4.769576,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,117,4.769577,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,118,4.769578,428,0.522589,-1.977411,181,0.221001,-2.278999,03 58 01 6A
96000,1,1,119,4.769579,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,120,4.769580,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,121,4.769581,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,122,4.769582,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,123,4.769583,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,124,4.769584,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,125,4.769586,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,126,4.769587,430,0.525031,-1.974969,183,0.223443,-2.276557,03 5C 01 6E
96000,1,1,127,4.769594,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
